features,likelihood ratio statistic,p-value
Model 2: Chr. cost,144.17037645376286,3.260924425837507e-33
snoRNA,27.06737269981909,1.964864189138942e-07
tRNA,34.548015540378174,4.1586529876521e-09
Retrotransposon,22.37460288991724,2.2432084818613035e-06
