,Chromosome,MEAN RG,verified genes,dubious genes,uncharacterized genes,ARS,ltr,ncRNA,Retrotransposon,snoRNA,tRNA,rRNA,snRNA,Total Features,Chr length,verified & uncharacterized,total genes,model2,model2-,model2_2,model2_2-,model2_neg,model2_neg-,model2_pos,model2_pos-,model2_T,model2_T-,model2_NB,model2_NB-,Nb toxic,model2-/nb genes,model2_T/nb genes
0,1,93.62434818,78,18,16,11,12,1.0,2.0,1.0,4.0,0.0,0.0,143.0,239671,94,112,-52.53579268180904,52.53579268180904,-63.81742999224976,63.81742999224976,-63.81742999224976,63.81742999224976,11.281637310440715,-11.281637310440715,-44.463814891512605,44.463814891512605,-8.071977790296438,8.071977790296438,19,0.5588914115086069,2.3402007837638212
1,1,94.33409285,78,18,16,11,12,1.0,2.0,1.0,4.0,0.0,0.0,143.0,239671,94,112,-52.53579268180904,52.53579268180904,-63.81742999224976,63.81742999224976,-63.81742999224976,63.81742999224976,11.281637310440715,-11.281637310440715,-44.463814891512605,44.463814891512605,-8.071977790296438,8.071977790296438,19,0.5588914115086069,2.3402007837638212
2,1,89.39477629,78,18,16,11,12,1.0,2.0,1.0,4.0,0.0,0.0,143.0,239671,94,112,-52.53579268180904,52.53579268180904,-63.81742999224976,63.81742999224976,-63.81742999224976,63.81742999224976,11.281637310440715,-11.281637310440715,-44.463814891512605,44.463814891512605,-8.071977790296438,8.071977790296438,19,0.5588914115086069,2.3402007837638212
3,1,92.98772065,78,18,16,11,12,1.0,2.0,1.0,4.0,0.0,0.0,143.0,239671,94,112,-52.53579268180904,52.53579268180904,-63.81742999224976,63.81742999224976,-63.81742999224976,63.81742999224976,11.281637310440715,-11.281637310440715,-44.463814891512605,44.463814891512605,-8.071977790296438,8.071977790296438,19,0.5588914115086069,2.3402007837638212
4,2,82.46283906,360,42,35,23,16,2.0,1.0,2.0,13.0,0.0,1.0,495.0,790641,395,437,-198.09747327507202,198.09747327507202,-269.74295603702654,269.74295603702654,-269.74295603702654,269.74295603702654,71.64548276195451,-71.64548276195451,-200.33688808955534,200.33688808955534,2.2394148144833386,-2.2394148144833386,94,0.5015125905698026,2.1312434903144184
5,2,85.88862201,360,42,35,23,16,2.0,1.0,2.0,13.0,0.0,1.0,495.0,790641,395,437,-198.09747327507202,198.09747327507202,-269.74295603702654,269.74295603702654,-269.74295603702654,269.74295603702654,71.64548276195451,-71.64548276195451,-200.33688808955534,200.33688808955534,2.2394148144833386,-2.2394148144833386,94,0.5015125905698026,2.1312434903144184
6,2,82.51884444,360,42,35,23,16,2.0,1.0,2.0,13.0,0.0,1.0,495.0,790641,395,437,-198.09747327507202,198.09747327507202,-269.74295603702654,269.74295603702654,-269.74295603702654,269.74295603702654,71.64548276195451,-71.64548276195451,-200.33688808955534,200.33688808955534,2.2394148144833386,-2.2394148144833386,94,0.5015125905698026,2.1312434903144184
7,2,82.00960784,360,42,35,23,16,2.0,1.0,2.0,13.0,0.0,1.0,495.0,790641,395,437,-198.09747327507202,198.09747327507202,-269.74295603702654,269.74295603702654,-269.74295603702654,269.74295603702654,71.64548276195451,-71.64548276195451,-200.33688808955534,200.33688808955534,2.2394148144833386,-2.2394148144833386,94,0.5015125905698026,2.1312434903144184
8,3,92.68360007,134,17,22,17,15,0.0,2.0,4.0,10.0,0.0,0.0,221.0,312008,156,173,-102.24108772810084,102.24108772810084,-122.92978851842527,122.92978851842527,-122.92978851842527,122.92978851842527,20.688700790324436,-20.688700790324436,-95.313742174554,95.313742174554,-6.927345553546851,6.927345553546851,46,0.6553915880006463,2.072037873359869
9,3,94.9874686,134,17,22,17,15,0.0,2.0,4.0,10.0,0.0,0.0,221.0,312008,156,173,-102.24108772810084,102.24108772810084,-122.92978851842527,122.92978851842527,-122.92978851842527,122.92978851842527,20.688700790324436,-20.688700790324436,-95.313742174554,95.313742174554,-6.927345553546851,6.927345553546851,46,0.6553915880006463,2.072037873359869
10,3,93.60647666,134,17,22,17,15,0.0,2.0,4.0,10.0,0.0,0.0,221.0,312008,156,173,-102.24108772810084,102.24108772810084,-122.92978851842527,122.92978851842527,-122.92978851842527,122.92978851842527,20.688700790324436,-20.688700790324436,-95.313742174554,95.313742174554,-6.927345553546851,6.927345553546851,46,0.6553915880006463,2.072037873359869
11,3,95.79337268,134,17,22,17,15,0.0,2.0,4.0,10.0,0.0,0.0,221.0,312008,156,173,-102.24108772810084,102.24108772810084,-122.92978851842527,122.92978851842527,-122.92978851842527,122.92978851842527,20.688700790324436,-20.688700790324436,-95.313742174554,95.313742174554,-6.927345553546851,6.927345553546851,46,0.6553915880006463,2.072037873359869
12,4,44.97262844,679,73,61,44,12,0.0,3.0,4.0,28.0,0.0,0.0,904.0,1482091,740,813,-469.4414443661879,469.4414443661879,-588.92236114675,588.92236114675,-588.92236114675,588.92236114675,119.48091678056203,-119.48091678056203,-467.18107921637034,467.18107921637034,-2.260365149817532,2.260365149817532,214,0.6343803302245783,2.183089155216684
13,4,44.82758621,679,73,61,44,12,0.0,3.0,4.0,28.0,0.0,0.0,904.0,1482091,740,813,-469.4414443661879,469.4414443661879,-588.92236114675,588.92236114675,-588.92236114675,588.92236114675,119.48091678056203,-119.48091678056203,-467.18107921637034,467.18107921637034,-2.260365149817532,2.260365149817532,214,0.6343803302245783,2.183089155216684
14,4,41.2371134,679,73,61,44,12,0.0,3.0,4.0,28.0,0.0,0.0,904.0,1482091,740,813,-469.4414443661879,469.4414443661879,-588.92236114675,588.92236114675,-588.92236114675,588.92236114675,119.48091678056203,-119.48091678056203,-467.18107921637034,467.18107921637034,-2.260365149817532,2.260365149817532,214,0.6343803302245783,2.183089155216684
15,4,42.90256261,679,73,61,44,12,0.0,3.0,4.0,28.0,0.0,0.0,904.0,1482091,740,813,-469.4414443661879,469.4414443661879,-588.92236114675,588.92236114675,-588.92236114675,588.92236114675,119.48091678056203,-119.48091678056203,-467.18107921637034,467.18107921637034,-2.260365149817532,2.260365149817532,214,0.6343803302245783,2.183089155216684
16,5,76.1135576,251,51,33,24,34,3.0,3.0,5.0,20.0,0.0,1.0,425.0,567805,284,335,-164.5513309801503,164.5513309801503,-209.01752266501202,209.01752266501202,-209.01752266501202,209.01752266501202,44.46619168486171,-44.46619168486171,-159.9661188752127,159.9661188752127,-4.5852121049376215,4.5852121049376215,76,0.5794060950005293,2.1048173536212196
17,5,81.55019917,251,51,33,24,34,3.0,3.0,5.0,20.0,0.0,1.0,425.0,567805,284,335,-164.5513309801503,164.5513309801503,-209.01752266501202,209.01752266501202,-209.01752266501202,209.01752266501202,44.46619168486171,-44.46619168486171,-159.9661188752127,159.9661188752127,-4.5852121049376215,4.5852121049376215,76,0.5794060950005293,2.1048173536212196
18,5,82.48989591,251,51,33,24,34,3.0,3.0,5.0,20.0,0.0,1.0,425.0,567805,284,335,-164.5513309801503,164.5513309801503,-209.01752266501202,209.01752266501202,-209.01752266501202,209.01752266501202,44.46619168486171,-44.46619168486171,-159.9661188752127,159.9661188752127,-4.5852121049376215,4.5852121049376215,76,0.5794060950005293,2.1048173536212196
19,5,74.76841063,251,51,33,24,34,3.0,3.0,5.0,20.0,0.0,1.0,425.0,567805,284,335,-164.5513309801503,164.5513309801503,-209.01752266501202,209.01752266501202,-209.01752266501202,209.01752266501202,44.46619168486171,-44.46619168486171,-159.9661188752127,159.9661188752127,-4.5852121049376215,4.5852121049376215,76,0.5794060950005293,2.1048173536212196
20,7,71.42857143,463,41,51,29,70,2.0,3.0,6.0,37.0,0.0,2.0,704.0,1071065,514,555,-336.4235584478949,336.4235584478949,-420.5990951620146,420.5990951620146,-420.5990951620146,420.5990951620146,84.17553671411969,-84.17553671411969,-339.98394746529243,339.98394746529243,3.560389017397524,-3.560389017397524,150,0.6545205417274219,2.2665596497686162
21,7,66.66666667,463,41,51,29,70,2.0,3.0,6.0,37.0,0.0,2.0,704.0,1071065,514,555,-336.4235584478949,336.4235584478949,-420.5990951620146,420.5990951620146,-420.5990951620146,420.5990951620146,84.17553671411969,-84.17553671411969,-339.98394746529243,339.98394746529243,3.560389017397524,-3.560389017397524,150,0.6545205417274219,2.2665596497686162
22,7,72.70369481,463,41,51,29,70,2.0,3.0,6.0,37.0,0.0,2.0,704.0,1071065,514,555,-336.4235584478949,336.4235584478949,-420.5990951620146,420.5990951620146,-420.5990951620146,420.5990951620146,84.17553671411969,-84.17553671411969,-339.98394746529243,339.98394746529243,3.560389017397524,-3.560389017397524,150,0.6545205417274219,2.2665596497686162
23,7,72.72727273,463,41,51,29,70,2.0,3.0,6.0,37.0,0.0,2.0,704.0,1071065,514,555,-336.4235584478949,336.4235584478949,-420.5990951620146,420.5990951620146,-420.5990951620146,420.5990951620146,84.17553671411969,-84.17553671411969,-339.98394746529243,339.98394746529243,3.560389017397524,-3.560389017397524,150,0.6545205417274219,2.2665596497686162
24,8,90.71165188,236,24,36,15,19,2.0,1.0,2.0,11.0,0.0,0.0,346.0,534968,272,296,-180.28027355780395,180.28027355780395,-209.4938149218261,209.4938149218261,-209.4938149218261,209.4938149218261,29.213541364022127,-29.213541364022127,-157.49302933521506,157.49302933521506,-22.78724422258891,22.78724422258891,74,0.6627951233742793,2.128284180205609
25,8,89.9033759,236,24,36,15,19,2.0,1.0,2.0,11.0,0.0,0.0,346.0,534968,272,296,-180.28027355780395,180.28027355780395,-209.4938149218261,209.4938149218261,-209.4938149218261,209.4938149218261,29.213541364022127,-29.213541364022127,-157.49302933521506,157.49302933521506,-22.78724422258891,22.78724422258891,74,0.6627951233742793,2.128284180205609
26,8,83.70998235,236,24,36,15,19,2.0,1.0,2.0,11.0,0.0,0.0,346.0,534968,272,296,-180.28027355780395,180.28027355780395,-209.4938149218261,209.4938149218261,-209.4938149218261,209.4938149218261,29.213541364022127,-29.213541364022127,-157.49302933521506,157.49302933521506,-22.78724422258891,22.78724422258891,74,0.6627951233742793,2.128284180205609
27,8,85.9487193,236,24,36,15,19,2.0,1.0,2.0,11.0,0.0,0.0,346.0,534968,272,296,-180.28027355780395,180.28027355780395,-209.4938149218261,209.4938149218261,-209.4938149218261,209.4938149218261,29.213541364022127,-29.213541364022127,-157.49302933521506,157.49302933521506,-22.78724422258891,22.78724422258891,74,0.6627951233742793,2.128284180205609
